TARGET_DELTA_MIN,SL_MULTIPLIER,TARGET_DELTA_MAX,Total Trades,Net PnL,Win Rate,Max Drawdown,Final Equity,Sharpe Ratio,Profit Factor,Largest Loss,Expectancy
0.15,1.5,0.2,472,28178.730567528888,0.5402542372881356,-0.24501299666802154,39717.448273419,3.2148747662456048,1.521213958821651,-1637.5876175896933,59.70070035493407
0.1,1.5,0.15000000000000002,497,18681.913254559862,0.5372233400402414,-0.19751000459262363,30173.327119694437,3.05801994078418,1.4954651502621241,-1475.4798748997953,37.589362685231066
0.05,1.5,0.1,511,7306.477886110896,0.5322896281800391,-0.1272410624843962,18599.481976973802,2.718649164977167,1.3182237281845322,-1272.774005803353,14.298391166557536
0.15,2.0,0.2,472,17701.853704246732,0.6271186440677966,-0.40846113142026186,29240.57141013685,1.762923350035022,1.229990679552339,-1637.5876175896933,37.50392733950585
0.1,2.0,0.15000000000000002,497,9275.940567213554,0.6277665995975855,-0.37599415281422244,20767.354432348126,1.5321446459321577,1.1652823468449849,-1475.4798748997953,18.663864320349205
0.15,3.0,0.2,472,13328.249796516122,0.7245762711864406,-0.5293515268513935,24866.96750240624,1.2801849190651309,1.1412714810087563,-1637.5876175896933,28.237817365500206
0.1,3.0,0.15000000000000002,497,9174.11691534538,0.7364185110663984,-0.4531027680803876,20665.530780479952,1.262052456537695,1.136300289969019,-1475.4798748997953,18.458987757234212
0.05,2.0,0.1,511,2995.3355737415495,0.6320939334637965,-0.2799766316210636,14288.339664604458,1.102661912753768,1.0913282936912432,-1272.774005803353,5.8617134515490505
0.05,3.0,0.1,511,-2303.945653239477,0.7221135029354208,-0.5386492965803715,8989.058437623431,0.08182261045512432,0.9463267193327085,-1272.774005803353,-4.5086999084920905
